ts,f_uid,bb_uid,DE3,cce_uid,DE7,DE0,DE1,DY0,MN0,VO1,VO2,VO3,W0,PP0,MN2,MN3,CO0,AL,AA
1587802145,14D-1179,,,CCE-id-1234,-52.82,23.16,55.25,1,0,406.5,658.5,74.6,6290.1,152.3,7,3,72,15777343,79914543
1587802845,14D-1179,bbid-2056x,13.91,,,,,,,,,,,,,,,,
1587802745,14D-1179,,,CCE-id-1234,-81.9,-79.53,59.98,123,5,85.8,236.3,56.7,9830.3,120.5,10,5,60,37553453,29907832
1587803445,14D-1179,bbid-2056x,-0.2,,,,,,,,,,,,,,,,
1587803345,14D-1179,,,CCE-id-1234,-29.25,-54.47,73.32,866,7,36.7,907.8,10.4,7052.8,125.2,7,7,34,46170036,59232575
1587804045,14D-1179,bbid-2056x,-49.53,,,,,,,,,,,,,,,,
1587803945,14D-1179,,,CCE-id-1234,-99.48,-95.9,48.0,423,8,168.6,460.4,40.6,9778.7,282.7,6,10,123,67047029,89723042
1587804645,14D-1179,bbid-2056x,-27.1,,,,,,,,,,,,,,,,
1587804545,14D-1179,,,CCE-id-1234,-41.13,-80.44,-69.6,491,1,298.2,148.0,36.0,3973.4,96.1,6,1,41,98126032,41829593
1587805245,14D-1179,bbid-2056x,-45.66,,,,,,,,,,,,,,,,
1587805145,14D-1179,,,CCE-id-1234,-86.55,86.8,-40.39,468,10,298.2,753.9,76.2,5268.5,172.9,0,1,231,39186548,59827134
1587805845,14D-1179,bbid-2056x,0.55,,,,,,,,,,,,,,,,
1587805745,14D-1179,,,CCE-id-1234,-81.68,33.95,91.84,737,1,364.2,837.2,72.4,1659.2,276.4,5,10,49,97047306,85257674
1587806445,14D-1179,bbid-2056x,-42.5,,,,,,,,,,,,,,,,
1587806345,14D-1179,,,CCE-id-1234,-37.4,-49.15,-47.65,118,4,380.9,335.4,66.3,602.1,195.7,7,6,7,49077108,11184602
1587807045,14D-1179,bbid-2056x,-94.7,,,,,,,,,,,,,,,,
1587806945,14D-1179,,,CCE-id-1234,88.7,14.37,26.93,449,0,186.0,706.4,28.1,2608.6,234.0,4,7,137,65837045,69567669
1587807645,14D-1179,bbid-2056x,-17.6,,,,,,,,,,,,,,,,
1587807545,14D-1179,,,CCE-id-1234,-6.16,-24.19,-67.49,940,10,200.2,929.0,13.2,5799.6,75.1,4,2,175,26449474,68602915
1587808245,14D-1179,bbid-2056x,72.98,,,,,,,,,,,,,,,,
1587808145,14D-1179,,,CCE-id-1234,-77.63,92.83,-56.85,492,2,448.8,71.0,63.7,6924.4,180.7,7,2,95,93901065,42449483
1587808845,14D-1179,bbid-2056x,24.72,,,,,,,,,,,,,,,,
1587808745,14D-1179,,,CCE-id-1234,21.37,-11.78,-93.51,209,6,260.8,154.0,61.9,7165.8,26.8,8,5,217,28411657,15660019
1587809445,14D-1179,bbid-2056x,-11.2,,,,,,,,,,,,,,,,
1587809345,14D-1179,,,CCE-id-1234,0.98,26.13,50.2,261,0,14.7,25.2,86.3,7352.9,295.5,8,7,13,15483854,25049214
1587810045,14D-1179,bbid-2056x,-78.66,,,,,,,,,,,,,,,,
1587809945,14D-1179,,,CCE-id-1234,-64.8,-24.41,-10.16,623,6,474.3,697.2,91.1,1250.4,242.2,6,10,190,29848932,52838716
1587810645,14D-1179,bbid-2056x,41.6,,,,,,,,,,,,,,,,
1587810545,14D-1179,,,CCE-id-1234,12.72,72.35,-73.49,315,10,382.1,223.6,29.8,8234.6,168.6,6,8,174,50024135,91372446
1587811245,14D-1179,bbid-2056x,59.51,,,,,,,,,,,,,,,,
1587811145,14D-1179,,,CCE-id-1234,82.23,85.44,-95.81,273,2,144.2,470.2,62.6,2725.9,86.0,5,0,156,90477459,96880651
1587811845,14D-1179,bbid-2056x,-36.8,,,,,,,,,,,,,,,,
1587811745,14D-1179,,,CCE-id-1234,19.86,62.17,-54.17,633,10,120.1,302.4,60.6,164.3,282.4,9,4,65,25167515,29010452
1587812445,14D-1179,bbid-2056x,-70.3,,,,,,,,,,,,,,,,
1587812345,14D-1179,,,CCE-id-1234,-9.23,66.73,47.96,478,5,267.8,814.5,91.5,4623.0,171.6,6,2,174,35899460,77731411
1587813045,14D-1179,bbid-2056x,-39.6,,,,,,,,,,,,,,,,
1587812945,14D-1179,,,CCE-id-1234,4.11,-87.71,-50.9,152,4,169.7,885.7,49.5,5233.6,157.6,6,7,44,94409530,21283825
1587813645,14D-1179,bbid-2056x,-0.7,,,,,,,,,,,,,,,,
1587813545,14D-1179,,,CCE-id-1234,74.99,-99.48,-59.98,455,1,114.7,42.7,33.4,1616.3,241.8,9,5,235,49293209,67578211
1587814245,14D-1179,bbid-2056x,19.4,,,,,,,,,,,,,,,,
1587814145,14D-1179,,,CCE-id-1234,20.85,25.78,53.92,785,6,176.6,770.9,10.8,4344.1,233.9,8,9,201,79698897,10459232
1587814845,14D-1179,bbid-2056x,89.68,,,,,,,,,,,,,,,,
1587814745,14D-1179,,,CCE-id-1234,-87.94,60.85,-77.76,553,10,188.8,234.6,0.4,7274.3,131.6,9,2,239,12105736,83951341
1587815445,14D-1179,bbid-2056x,-50.37,,,,,,,,,,,,,,,,
1587815345,14D-1179,,,CCE-id-1234,-76.5,96.23,1.73,228,3,143.9,476.9,50.4,3738.7,8.0,3,0,160,48588015,92776940
1587816045,14D-1179,bbid-2056x,24.96,,,,,,,,,,,,,,,,
1587815945,14D-1179,,,CCE-id-1234,45.25,-63.9,-67.26,972,0,288.3,649.6,71.2,4955.0,119.7,8,6,101,16219748,25761538
1587816645,14D-1179,bbid-2056x,58.16,,,,,,,,,,,,,,,,
1587816545,14D-1179,,,CCE-id-1234,60.81,-24.89,-7.37,804,4,575.8,53.3,58.6,5802.7,266.0,5,8,227,66949066,18208714
1587817245,14D-1179,bbid-2056x,-5.86,,,,,,,,,,,,,,,,
1587817145,14D-1179,,,CCE-id-1234,-26.97,62.34,88.42,967,4,282.2,984.1,22.5,4223.2,191.3,9,1,118,86891856,68870278
1587817845,14D-1179,bbid-2056x,54.71,,,,,,,,,,,,,,,,
1587817745,14D-1179,,,CCE-id-1234,-0.26,-77.24,54.15,245,7,230.8,336.4,12.0,6000.9,74.6,1,6,243,98990200,37198643
1587818445,14D-1179,bbid-2056x,72.63,,,,,,,,,,,,,,,,
1587818345,14D-1179,,,CCE-id-1234,-64.67,-7.35,-89.9,738,7,2.7,836.3,92.3,3829.5,12.2,6,6,107,31816489,47504117
1587819045,14D-1179,bbid-2056x,90.62,,,,,,,,,,,,,,,,
1587818945,14D-1179,,,CCE-id-1234,90.44,2.54,-75.82,144,0,202.2,33.4,80.0,585.7,144.5,9,0,237,15358546,78191608
1587819645,14D-1179,bbid-2056x,-1.42,,,,,,,,,,,,,,,,
1587819545,14D-1179,,,CCE-id-1234,62.36,83.18,93.67,62,4,400.9,707.2,89.5,8280.1,217.9,2,0,160,32756556,79819174
1587820245,14D-1179,bbid-2056x,-14.73,,,,,,,,,,,,,,,,
1587820145,14D-1179,,,CCE-id-1234,65.28,-43.57,-38.47,327,8,349.7,848.5,82.7,5118.1,191.2,5,6,71,48847272,83717667
1587820845,14D-1179,bbid-2056x,76.57,,,,,,,,,,,,,,,,
1587820745,14D-1179,,,CCE-id-1234,-57.7,-45.3,82.78,683,0,33.4,658.7,16.6,9142.0,54.1,2,4,26,26127404,66969557
1587821445,14D-1179,bbid-2056x,89.11,,,,,,,,,,,,,,,,
1587821345,14D-1179,,,CCE-id-1234,89.76,3.74,56.76,552,1,110.5,745.6,86.2,5465.5,62.0,4,10,180,47633845,58007989
1587822045,14D-1179,bbid-2056x,-95.62,,,,,,,,,,,,,,,,
1587821945,14D-1179,,,CCE-id-1234,-55.93,-42.2,57.41,258,8,294.6,164.4,71.8,3025.7,254.0,1,0,134,59622105,81703168
1587822645,14D-1179,bbid-2056x,-33.34,,,,,,,,,,,,,,,,
1587822545,14D-1179,,,CCE-id-1234,26.3,-43.53,-66.53,397,8,375.4,943.5,79.6,4314.9,123.3,6,9,229,74546569,44817954
1587823245,14D-1179,bbid-2056x,-16.7,,,,,,,,,,,,,,,,
1587823145,14D-1179,,,CCE-id-1234,9.98,-14.28,46.54,692,10,226.9,190.5,62.4,3804.2,262.9,1,2,243,12579499,67830427
1587823845,14D-1179,bbid-2056x,82.77,,,,,,,,,,,,,,,,
1587823745,14D-1179,,,CCE-id-1234,87.98,-90.24,-82.2,296,2,17.7,724.8,39.8,9082.4,155.8,6,2,11,79960959,42541660
1587824445,14D-1179,bbid-2056x,-30.4,,,,,,,,,,,,,,,,
1587824345,14D-1179,,,CCE-id-1234,6.72,-42.1,-6.68,590,2,132.4,302.4,30.5,2040.3,191.6,6,9,91,46696293,79962519
1587825045,14D-1179,bbid-2056x,-61.79,,,,,,,,,,,,,,,,
1587824945,14D-1179,,,CCE-id-1234,-52.41,44.82,-10.6,22,0,306.3,566.3,27.5,6168.6,253.1,10,2,101,92834363,66028898
1587825645,14D-1179,bbid-2056x,-90.48,,,,,,,,,,,,,,,,
1587825545,14D-1179,,,CCE-id-1234,-6.65,-41.8,-74.1,885,0,158.8,531.4,68.3,4690.1,193.0,0,6,103,37404355,46544936
1587826245,14D-1179,bbid-2056x,-65.2,,,,,,,,,,,,,,,,
1587826145,14D-1179,,,CCE-id-1234,6.39,-92.35,48.46,416,9,177.9,838.5,7.1,2387.1,129.1,6,7,0,68523760,91243247
1587826845,14D-1179,bbid-2056x,-37.69,,,,,,,,,,,,,,,,
1587826745,14D-1179,,,CCE-id-1234,96.86,-0.49,-61.91,530,2,192.6,960.1,35.4,4183.2,231.9,5,1,112,93520687,72996975
1587827445,14D-1179,bbid-2056x,7.4,,,,,,,,,,,,,,,,
1587827345,14D-1179,,,CCE-id-1234,-98.42,77.72,-51.45,607,1,255.0,551.0,47.8,5895.6,104.5,4,9,8,38962968,98194973
1587828045,14D-1179,bbid-2056x,76.41,,,,,,,,,,,,,,,,
1587827945,14D-1179,,,CCE-id-1234,-13.5,-90.43,-87.16,175,0,507.3,515.4,42.2,6695.9,232.8,10,7,113,24938472,16347700
1587828645,14D-1179,bbid-2056x,19.3,,,,,,,,,,,,,,,,
1587828545,14D-1179,,,CCE-id-1234,89.5,-52.15,-23.7,808,0,461.4,960.7,64.7,3171.8,53.1,3,6,207,54360026,31016466
1587829245,14D-1179,bbid-2056x,95.2,,,,,,,,,,,,,,,,
1587829145,14D-1179,,,CCE-id-1234,-38.45,42.81,33.37,233,6,485.7,661.5,27.7,5940.4,212.9,6,6,75,74454513,45393411
1587829845,14D-1179,bbid-2056x,-13.77,,,,,,,,,,,,,,,,
1587829745,14D-1179,,,CCE-id-1234,8.6,88.95,-60.92,120,4,372.4,474.7,69.1,8035.3,155.5,2,4,198,49957052,78260356
1587830445,14D-1179,bbid-2056x,-66.29,,,,,,,,,,,,,,,,
1587830345,14D-1179,,,CCE-id-1234,24.28,-7.6,76.42,257,5,480.7,689.1,56.5,1066.9,195.7,9,2,238,75838294,37255837
1587831045,14D-1179,bbid-2056x,1.54,,,,,,,,,,,,,,,,
1587830945,14D-1179,,,CCE-id-1234,62.64,-91.21,34.78,531,0,380.9,725.0,80.8,6102.4,169.9,2,3,164,18136356,17974807
1587831645,14D-1179,bbid-2056x,-53.65,,,,,,,,,,,,,,,,
1587831545,14D-1179,,,CCE-id-1234,-86.28,34.69,77.19,852,7,517.6,846.6,89.8,9243.4,51.9,10,3,167,64778916,11326552
1587832245,14D-1179,bbid-2056x,55.49,,,,,,,,,,,,,,,,
1587832145,14D-1179,,,CCE-id-1234,92.87,-74.54,-10.81,259,4,8.8,994.8,93.3,2592.9,228.5,1,10,0,36424891,91268552
1587832845,14D-1179,bbid-2056x,37.98,,,,,,,,,,,,,,,,
1587832745,14D-1179,,,CCE-id-1234,53.1,3.78,-16.8,52,5,541.6,828.6,32.8,5311.7,47.2,3,8,211,26096357,56393617
1587833445,14D-1179,bbid-2056x,-9.99,,,,,,,,,,,,,,,,
1587833345,14D-1179,,,CCE-id-1234,12.73,64.79,-4.24,865,2,575.5,428.1,61.4,4633.9,136.8,4,5,136,31253291,76451666
1587834045,14D-1179,bbid-2056x,-83.56,,,,,,,,,,,,,,,,
1587833945,14D-1179,,,CCE-id-1234,13.59,-34.7,-27.32,939,10,5.0,136.4,31.1,3925.8,3.5,2,10,255,18334199,48409305
1587834645,14D-1179,bbid-2056x,79.88,,,,,,,,,,,,,,,,
1587834545,14D-1179,,,CCE-id-1234,99.76,55.7,-44.63,815,5,431.6,235.2,97.5,4132.6,161.9,6,1,163,77296260,43389892
1587835245,14D-1179,bbid-2056x,-12.99,,,,,,,,,,,,,,,,
1587835145,14D-1179,,,CCE-id-1234,-42.58,-5.86,95.35,137,4,284.0,910.9,56.4,1911.4,270.1,5,7,208,19851402,60533753
1587835845,14D-1179,bbid-2056x,94.92,,,,,,,,,,,,,,,,
1587835745,14D-1179,,,CCE-id-1234,-62.39,-28.72,-74.81,503,5,474.7,456.3,88.0,199.5,148.6,2,1,5,92480781,26846088
1587836445,14D-1179,bbid-2056x,-24.9,,,,,,,,,,,,,,,,
1587836345,14D-1179,,,CCE-id-1234,-70.77,3.74,40.96,474,0,570.5,814.3,64.1,3950.6,151.4,10,1,206,27935869,20252090
1587837045,14D-1179,bbid-2056x,-2.31,,,,,,,,,,,,,,,,
1587836945,14D-1179,,,CCE-id-1234,-89.82,82.18,60.42,668,6,173.1,342.3,33.4,7702.3,291.2,8,8,164,16743946,45858939
1587837645,14D-1179,bbid-2056x,14.62,,,,,,,,,,,,,,,,
1587837545,14D-1179,,,CCE-id-1234,98.29,-0.2,-98.3,317,4,36.6,332.3,43.3,7499.0,147.6,7,7,144,94733329,32567960
1587838245,14D-1179,bbid-2056x,-5.39,,,,,,,,,,,,,,,,
1587838145,14D-1179,,,CCE-id-1234,-58.62,45.17,-52.57,933,6,201.9,301.0,31.3,9593.8,286.3,3,2,246,54912789,84731332
1587838845,14D-1179,bbid-2056x,88.6,,,,,,,,,,,,,,,,
1587838745,14D-1179,,,CCE-id-1234,46.62,-70.41,46.31,187,0,117.1,145.2,85.7,7078.6,25.5,9,5,11,18042294,18408919
1587839445,14D-1179,bbid-2056x,63.92,,,,,,,,,,,,,,,,
1587839345,14D-1179,,,CCE-id-1234,-95.4,-89.9,59.6,970,5,394.2,630.1,27.4,8952.3,200.3,2,5,119,11113597,49506649
1587840045,14D-1179,bbid-2056x,-99.21,,,,,,,,,,,,,,,,
1587839945,14D-1179,,,CCE-id-1234,-71.72,-50.15,-54.23,184,7,41.8,284.3,72.7,5663.4,84.0,0,5,229,48854797,88736350
1587840645,14D-1179,bbid-2056x,-36.61,,,,,,,,,,,,,,,,
1587840545,14D-1179,,,CCE-id-1234,99.81,11.75,34.33,877,1,20.4,946.1,89.1,2462.2,271.6,3,1,73,55324501,29621859
1587841245,14D-1179,bbid-2056x,38.0,,,,,,,,,,,,,,,,
1587841145,14D-1179,,,CCE-id-1234,-8.48,99.64,88.1,391,6,575.0,653.9,49.6,2016.8,261.6,0,0,98,74084610,21732764
1587841845,14D-1179,bbid-2056x,68.55,,,,,,,,,,,,,,,,
1587841745,14D-1179,,,CCE-id-1234,-28.91,91.14,83.56,624,8,499.7,886.2,8.4,7286.0,45.3,6,0,208,80087619,30965239
1587842445,14D-1179,bbid-2056x,-6.19,,,,,,,,,,,,,,,,
1587842345,14D-1179,,,CCE-id-1234,-44.46,10.38,32.85,251,4,138.2,472.9,59.7,1534.8,45.6,10,9,131,33219703,33556512
1587843045,14D-1179,bbid-2056x,62.97,,,,,,,,,,,,,,,,
1587842945,14D-1179,,,CCE-id-1234,41.52,23.97,-2.52,162,4,0.7,59.9,36.0,6941.4,273.7,1,3,220,88441312,65010779
1587843645,14D-1179,bbid-2056x,-67.89,,,,,,,,,,,,,,,,
1587843545,14D-1179,,,CCE-id-1234,-47.53,18.35,58.17,99,8,27.3,496.1,36.5,9806.9,234.9,10,7,188,41246838,27881409
1587844245,14D-1179,bbid-2056x,35.0,,,,,,,,,,,,,,,,
1587844145,14D-1179,,,CCE-id-1234,4.39,-8.17,1.93,648,2,206.8,291.1,41.5,8730.6,280.2,9,0,183,19358942,67985993
1587844845,14D-1179,bbid-2056x,-98.61,,,,,,,,,,,,,,,,
1587844745,14D-1179,,,CCE-id-1234,22.34,-96.94,-34.92,538,9,395.5,795.7,38.1,6229.6,1.5,7,1,175,56467443,81599749
1587845445,14D-1179,bbid-2056x,-79.62,,,,,,,,,,,,,,,,
1587845345,14D-1179,,,CCE-id-1234,24.5,57.13,-94.5,971,8,51.6,654.6,28.1,4952.5,116.3,10,6,0,80696584,57976020
1587846045,14D-1179,bbid-2056x,49.85,,,,,,,,,,,,,,,,
1587845945,14D-1179,,,CCE-id-1234,96.5,-58.59,14.36,491,2,13.1,125.8,69.0,8317.7,52.1,4,1,98,20756210,49413018
1587846645,14D-1179,bbid-2056x,28.61,,,,,,,,,,,,,,,,
1587846545,14D-1179,,,CCE-id-1234,-51.13,58.81,52.61,969,5,105.2,253.7,55.8,7699.3,244.0,8,10,187,89323106,38563524
1587847245,14D-1179,bbid-2056x,-55.27,,,,,,,,,,,,,,,,
1587847145,14D-1179,,,CCE-id-1234,-75.87,68.36,28.78,605,2,210.7,404.6,76.7,8508.0,188.9,6,0,4,16353820,89424823
1587847845,14D-1179,bbid-2056x,72.85,,,,,,,,,,,,,,,,
1587847745,14D-1179,,,CCE-id-1234,-39.42,-41.2,79.93,878,8,326.1,929.1,17.8,7473.7,197.4,10,4,183,20882279,39564484
1587848445,14D-1179,bbid-2056x,-61.84,,,,,,,,,,,,,,,,
1587848345,14D-1179,,,CCE-id-1234,-97.78,46.5,-30.24,670,7,109.1,283.5,41.2,8948.2,57.4,1,9,228,25316625,57814739
1587849045,14D-1179,bbid-2056x,3.29,,,,,,,,,,,,,,,,
1587848945,14D-1179,,,CCE-id-1234,72.22,64.31,68.79,856,8,500.9,277.7,9.5,2503.4,97.7,1,4,45,22141829,90765409
1587849645,14D-1179,bbid-2056x,-98.8,,,,,,,,,,,,,,,,
1587849545,14D-1179,,,CCE-id-1234,32.64,-73.72,-10.48,865,7,384.1,39.0,21.0,5119.0,11.6,1,8,89,12819117,77283114
1587850245,14D-1179,bbid-2056x,-8.2,,,,,,,,,,,,,,,,
1587850145,14D-1179,,,CCE-id-1234,59.31,-5.9,-43.2,381,1,57.7,754.3,51.8,8680.1,150.7,3,6,56,81705716,64992208
1587850845,14D-1179,bbid-2056x,-19.73,,,,,,,,,,,,,,,,
1587850745,14D-1179,,,CCE-id-1234,-69.15,58.81,-38.95,173,9,449.6,840.0,42.6,9416.8,120.5,7,1,185,32950676,84799835
1587851445,14D-1179,bbid-2056x,-44.96,,,,,,,,,,,,,,,,
1587851345,14D-1179,,,CCE-id-1234,-42.37,-19.37,12.73,812,9,111.6,344.5,43.1,8985.8,294.4,7,0,172,72874600,30881652
1587852045,14D-1179,bbid-2056x,-64.96,,,,,,,,,,,,,,,,
1587851945,14D-1179,,,CCE-id-1234,47.41,33.33,93.7,670,7,350.6,738.6,34.6,919.1,221.6,8,10,180,41230970,56063026
1587852645,14D-1179,bbid-2056x,78.8,,,,,,,,,,,,,,,,
1587852545,14D-1179,,,CCE-id-1234,-30.0,-49.62,-30.37,566,3,427.5,899.8,6.9,4027.5,258.7,4,7,237,45248760,95659997
1587853245,14D-1179,bbid-2056x,-23.91,,,,,,,,,,,,,,,,
1587853145,14D-1179,,,CCE-id-1234,48.9,97.33,37.25,235,3,370.4,198.8,61.9,4943.1,290.7,6,10,254,91048925,94679520
1587853845,14D-1179,bbid-2056x,82.45,,,,,,,,,,,,,,,,
1587853745,14D-1179,,,CCE-id-1234,-56.66,-77.5,9.96,449,0,8.8,807.2,39.9,9189.4,168.3,3,3,94,59075136,74434947
1587854445,14D-1179,bbid-2056x,-65.48,,,,,,,,,,,,,,,,
1587854345,14D-1179,,,CCE-id-1234,-51.71,-71.16,-23.23,465,2,79.6,828.5,47.1,1698.4,239.3,6,4,109,97020325,10857820
1587855045,14D-1179,bbid-2056x,53.99,,,,,,,,,,,,,,,,
1587854945,14D-1179,,,CCE-id-1234,-82.95,-94.23,-77.18,646,10,144.7,897.6,25.4,5448.1,32.0,3,9,30,73127939,55087673
1587855645,14D-1179,bbid-2056x,11.62,,,,,,,,,,,,,,,,
1587855545,14D-1179,,,CCE-id-1234,82.6,83.54,-27.25,398,9,584.5,377.4,22.6,7822.9,52.7,1,2,250,58966852,22920573
1587856245,14D-1179,bbid-2056x,-43.44,,,,,,,,,,,,,,,,
1587856145,14D-1179,,,CCE-id-1234,-96.38,44.17,40.35,974,2,387.4,966.2,44.2,1781.2,235.6,1,6,182,65626732,71651089
1587856845,14D-1179,bbid-2056x,71.3,,,,,,,,,,,,,,,,
1587856745,14D-1179,,,CCE-id-1234,39.41,-99.85,7.12,500,0,565.4,17.6,30.3,1330.5,285.9,5,2,254,91402619,63890122
1587857445,14D-1179,bbid-2056x,-44.4,,,,,,,,,,,,,,,,
1587857345,14D-1179,,,CCE-id-1234,-71.38,-62.62,-46.26,892,7,482.3,62.0,29.1,5441.1,253.5,8,0,105,13877819,18369059
1587858045,14D-1179,bbid-2056x,-73.38,,,,,,,,,,,,,,,,
1587857945,14D-1179,,,CCE-id-1234,-8.53,-62.4,94.18,578,1,34.8,478.2,57.7,4709.8,49.5,2,5,174,61884893,15982849
1587858645,14D-1179,bbid-2056x,-60.64,,,,,,,,,,,,,,,,
1587858545,14D-1179,,,CCE-id-1234,12.68,-59.22,-85.57,53,0,304.6,824.1,92.8,6442.5,227.6,10,1,79,66979317,75878519
1587859245,14D-1179,bbid-2056x,-66.81,,,,,,,,,,,,,,,,
1587859145,14D-1179,,,CCE-id-1234,-47.97,-38.68,9.16,1,10,228.6,248.3,7.1,7491.4,155.9,2,10,146,26253040,24937857
1587859845,14D-1179,bbid-2056x,5.65,,,,,,,,,,,,,,,,
1587859745,14D-1179,,,CCE-id-1234,17.36,-71.34,-57.33,872,5,322.9,363.9,9.1,5127.6,64.7,8,0,221,68510952,82333808
1587860445,14D-1179,bbid-2056x,-48.69,,,,,,,,,,,,,,,,
1587860345,14D-1179,,,CCE-id-1234,-68.81,-4.3,34.71,54,3,100.7,769.7,78.8,2131.4,52.4,5,0,109,17905503,18038111
1587861045,14D-1179,bbid-2056x,59.19,,,,,,,,,,,,,,,,
1587860945,14D-1179,,,CCE-id-1234,67.84,27.6,21.72,53,3,28.5,689.8,16.2,7635.8,172.9,4,2,168,73462901,33080247
1587861645,14D-1179,bbid-2056x,26.95,,,,,,,,,,,,,,,,
1587861545,14D-1179,,,CCE-id-1234,34.61,-72.33,40.59,890,9,177.5,480.5,29.6,9969.4,39.9,4,7,14,62441189,54443025
1587862245,14D-1179,bbid-2056x,-79.66,,,,,,,,,,,,,,,,
1587862145,14D-1179,,,CCE-id-1234,-94.44,86.62,12.41,983,2,284.4,823.4,10.7,3528.1,180.0,7,9,48,56574197,83241571
1587862845,14D-1179,bbid-2056x,23.19,,,,,,,,,,,,,,,,
1587862745,14D-1179,,,CCE-id-1234,-36.16,-61.23,80.92,39,9,349.6,511.1,40.8,4556.9,2.7,3,3,249,42746015,15776247
1587863445,14D-1179,bbid-2056x,54.4,,,,,,,,,,,,,,,,
1587863345,14D-1179,,,CCE-id-1234,-58.4,1.43,32.78,405,8,149.0,120.7,73.0,6961.6,71.7,8,9,202,94042717,37175079
1587864045,14D-1179,bbid-2056x,49.33,,,,,,,,,,,,,,,,
1587863945,14D-1179,,,CCE-id-1234,89.82,93.39,-92.6,216,4,351.4,224.1,7.9,6883.8,268.2,8,2,122,96383836,98192453
1587864645,14D-1179,bbid-2056x,22.5,,,,,,,,,,,,,,,,
1587864545,14D-1179,,,CCE-id-1234,-83.3,-57.71,-9.53,78,10,37.4,973.2,59.3,4147.6,105.6,4,8,170,52474022,66303309
1587865245,14D-1179,bbid-2056x,-19.37,,,,,,,,,,,,,,,,
1587865145,14D-1179,,,CCE-id-1234,9.97,-38.33,42.17,36,4,301.4,724.9,52.2,6861.1,182.8,7,7,253,14980125,29534236
1587865845,14D-1179,bbid-2056x,-35.41,,,,,,,,,,,,,,,,
1587865745,14D-1179,,,CCE-id-1234,-14.5,1.13,50.35,139,6,96.6,140.2,46.1,2809.5,99.9,6,5,207,82413646,94669814
1587866445,14D-1179,bbid-2056x,16.93,,,,,,,,,,,,,,,,
1587866345,14D-1179,,,CCE-id-1234,38.75,51.1,41.3,997,2,467.0,445.6,50.8,5932.2,256.3,4,8,184,76119123,83248037
1587867045,14D-1179,bbid-2056x,-11.59,,,,,,,,,,,,,,,,
1587866945,14D-1179,,,CCE-id-1234,30.61,-78.41,-29.0,454,1,165.6,332.2,29.6,5769.1,60.1,0,4,194,72816258,25901681
1587867645,14D-1179,bbid-2056x,-74.75,,,,,,,,,,,,,,,,
1587867545,14D-1179,,,CCE-id-1234,83.14,44.8,-74.22,498,4,571.0,7.8,51.2,4861.1,94.1,5,0,212,31097497,38113148
1587868245,14D-1179,bbid-2056x,-55.85,,,,,,,,,,,,,,,,
1587868145,14D-1179,,,CCE-id-1234,-2.27,13.84,-45.4,17,1,589.2,97.5,44.8,7083.5,25.9,3,2,69,65467176,60882402
1587868845,14D-1179,bbid-2056x,-33.56,,,,,,,,,,,,,,,,
1587868745,14D-1179,,,CCE-id-1234,33.44,19.75,-36.39,201,6,26.3,244.1,68.4,2328.7,273.4,7,4,36,10029443,10786684
1587869445,14D-1179,bbid-2056x,97.49,,,,,,,,,,,,,,,,
1587869345,14D-1179,,,CCE-id-1234,-74.44,-63.44,-82.13,526,4,530.7,311.6,15.4,4210.3,108.4,10,3,192,20820644,45253480
1587870045,14D-1179,bbid-2056x,42.77,,,,,,,,,,,,,,,,
1587869945,14D-1179,,,CCE-id-1234,-84.58,91.45,-76.68,417,4,568.4,522.3,2.0,4478.3,93.6,5,7,238,32821407,38083904
1587870645,14D-1179,bbid-2056x,-55.56,,,,,,,,,,,,,,,,
1587870545,14D-1179,,,CCE-id-1234,38.46,-4.67,15.33,670,9,279.4,962.7,88.1,6617.4,299.4,10,5,104,27057866,35906220
1587871245,14D-1179,bbid-2056x,-89.48,,,,,,,,,,,,,,,,
1587871145,14D-1179,,,CCE-id-1234,-96.77,-41.74,93.79,815,8,232.7,536.0,8.8,9590.4,241.0,5,7,33,14932374,34524567
1587871845,14D-1179,bbid-2056x,70.77,,,,,,,,,,,,,,,,
1587871745,14D-1179,,,CCE-id-1234,-1.6,-54.64,-64.72,643,1,380.1,481.2,24.9,1620.2,44.2,4,8,215,87184004,36031886
1587872445,14D-1179,bbid-2056x,17.25,,,,,,,,,,,,,,,,
1587872345,14D-1179,,,CCE-id-1234,35.61,-68.26,62.27,839,0,8.3,569.9,69.5,4652.6,192.7,5,2,4,76160486,91382041
1587873045,14D-1179,bbid-2056x,61.17,,,,,,,,,,,,,,,,
1587872945,14D-1179,,,CCE-id-1234,50.4,-15.31,29.21,719,6,447.3,768.4,51.9,8396.8,126.5,6,1,74,20429571,85600033
1587873645,14D-1179,bbid-2056x,38.75,,,,,,,,,,,,,,,,
1587873545,14D-1179,,,CCE-id-1234,-53.3,-61.15,1.16,933,10,358.7,882.3,28.9,1111.5,259.3,1,4,217,53800615,27946864
1587874245,14D-1179,bbid-2056x,-14.85,,,,,,,,,,,,,,,,
1587874145,14D-1179,,,CCE-id-1234,52.27,-28.11,69.75,650,5,136.1,908.8,57.1,1841.7,216.5,10,9,238,72716301,69049042
1587874845,14D-1179,bbid-2056x,-12.62,,,,,,,,,,,,,,,,
1587874745,14D-1179,,,CCE-id-1234,32.78,-10.99,5.18,652,10,347.8,410.1,29.5,8038.5,199.0,3,3,6,22921267,13446252
1587875445,14D-1179,bbid-2056x,54.18,,,,,,,,,,,,,,,,
